"canton_names.iso2","variationDensite_2000_2013"
"AG",16.4164164164164
"AI",0.492610837438421
"AR",9.40540540540541
"BE",4.41988950276244
"BL",7.55652518841729
"BS",0.781765093717623
"FR",22.5582860743541
"GE",13.7448223557552
"GL",2.83768444948922
"GR",4.21286031042128
"JU",5.36585365853659
"LU",11.55220325526
"NE",5.0761421319797
"NW",12.3878923766816
"OW",12.4231242312423
"SG",9.1263650546022
"SH",7.4698795180723
"SO",7.17948717948717
"SZ",17.1654432523998
"TG",14.0572703607289
"TI",11.3266583229036
"UR",-0.824175824175816
"VD",16.5968147527242
"VS",19.1150442477876
"ZG",18.2259042230754
"ZH",14.6567475854868
