"canton_names.iso2","variationPopulation_2000_2013"
"AG",16.036763903455
"AI",-0.556413644230232
"AR",5.15857085507828
"BE",5.2139699203012
"BL",6.9353678625842
"BS",-0.548132740451453
"FR",24.3646156538217
"GE",14.8942979703126
"GL",1.70765733181771
"GR",4.24349284508617
"JU",3.08640181347903
"LU",11.7921455189847
"NE",5.3758247861442
"NW",10.4283400164644
"OW",12.0713731574864
"SG",8.81371911646102
"SH",5.98624102675658
"SO",6.30360627777687
"SZ",16.8283326055767
"TG",12.7276327078338
"TI",10.7469092182121
"UR",0.580494265505678
"VD",19.160439738753
"VS",16.7251988158124
"ZG",19.2485525481291
"ZH",17.5213942626582
