Elections au Conseil national de 1991: force des partis par canton,,,,,,,,,,,,,,,,,,,,,,,,T 17.2.3.3.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  ','  'PRD,'  'PDC,'  'PS,'  'UDC,'  'PLS,'  'AdI,'  'PEV,'  'PCS,'  'PVL,'  'PBD,'  'PST,'  'PSA,'  'POCH,'  'PES,'  'AVF,'  'Sol.,'  'Rép.,'  'DS,'  'UDF,'  'PSL,'  'Lega,'  ','  'Autres,'  'Total,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,21.0 ,18.0 ,18.5 ,11.9 ,3.0 ,2.8 ,1.9 ,0.4 ,- ,- ,0.8 ,0.6 ,0.2 ,6.1 ,1.3 ,- ,- ,3.4 ,1.0 ,5.1 ,1.4 ,,2.7 ,100 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zurich,18.7 ,5.9 ,18.8 ,20.2 ,- ,6.1 ,4.8 ,- ,,,- ,- ,- ,7.0 ,2.4 ,,,5.2 ,1.8 ,5.9 ,- ,,3.3 ,100 ,,,,,
Berne,13.7 ,2.6 ,20.0 ,26.3 ,- ,2.9 ,3.3 ,- ,,,0.2 ,- ,- ,9.9 ,2.0 ,,,6.0 ,3.4 ,6.8 ,- ,,2.9 ,100 ,,,,,
Lucerne,27.9 ,48.6 ,11.0 ,- ,- ,- ,- ,- ,,,- ,- ,- ,9.3 ,- ,,,2.8 ,- ,- ,- ,,0.4 ,100 ,,,,,
Uri,93.2 ,- ,- ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,,6.8 ,100 ,,,,,
Schwytz,25.9 ,32.8 ,19.4 ,9.2 ,- ,- ,- ,- ,,,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,,12.7 ,100 ,,,,,
Obwald,- ,95.3 ,- ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,,4.7 ,100 ,,,,,
Nidwald,- ,97.7 ,- ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,,2.3 ,100 ,,,,,
Glaris,- ,- ,53.7 ,42.8 ,- ,- ,- ,- ,,,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,,3.5 ,100 ,,,,,
Zoug,32.9 ,34.2 ,16.1 ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,10.1 ,,,- ,- ,- ,- ,,6.7 ,100 ,,,,,
Fribourg,16.1 ,36.8 ,18.6 ,9.7 ,- ,- ,- ,7.7 ,,,- ,- ,- ,- ,- ,,,1.4 ,- ,- ,- ,,9.6 ,100 ,,,,,
Soleure,32.8 ,22.2 ,19.8 ,- ,- ,2.9 ,1.2 ,- ,,,- ,- ,- ,7.3 ,- ,,,- ,- ,9.1 ,- ,,4.7 ,100 ,,,,,
