Elections au Conseil national de 1987: force des partis par canton,,,,,,,,,,,,,,,,,,,,,,,,T 17.2.3.3.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  ','  'PRD,'  'PDC,'  'PS,'  'UDC,'  'PLS,'  'AdI,'  'PEV,'  'PCS,'  'PVL,'  'PBD,'  'PST,'  'PSA,'  'POCH,'  'PES,'  'AVF,'  'Sol.,'  'DS,'  'Rép.,'  'UDF,'  'PSL,'  'Lega,'  ','  'Autres,'  'Total,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,22.9 ,19.6 ,18.4 ,11.0 ,2.7 ,4.2 ,1.9 ,0.3 ,- ,- ,0.8 ,0.6 ,1.3 ,4.9 ,2.4 ,- ,2.5 ,0.3 ,0.9 ,2.6 ,- ,,2.6 ,100 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zurich,20.3 ,7.1 ,17.4 ,15.2 ,- ,11.6 ,4.4 ,- ,,,0.3 ,- ,3.8 ,8.0 ,- ,,5.0 ,0.5 ,1.8 ,3.8 ,,,0.8 ,100 ,,,,,
Berne,16.1 ,2.4 ,22.3 ,27.8 ,- ,3.6 ,3.4 ,- ,,,- ,- ,- ,9.2 ,2.6 ,,3.2 ,- ,2.7 ,3.2 ,,,3.6 ,100 ,,,,,
Lucerne,29.8 ,47.0 ,9.0 ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,8.7 ,,1.4 ,- ,- ,3.4 ,,,0.6 ,100 ,,,,,
Uri,85.5 ,- ,- ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,- ,,- ,- ,- ,1.7 ,,,12.8 ,100 ,,,,,
Schwytz,24.3 ,36.9 ,14.3 ,7.6 ,- ,- ,- ,- ,,,- ,- ,- ,- ,- ,,- ,- ,- ,4.9 ,,,12.0 ,100 ,,,,,
Obwald,30.4 ,51.7 ,- ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,- ,,- ,- ,- ,- ,,,17.8 ,100 ,,,,,
Nidwald,,96.9 ,- ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,- ,,- ,- ,- ,- ,,,3.1 ,100 ,,,,,
Glaris,- ,- ,- ,85.6 ,- ,- ,- ,- ,,,- ,- ,- ,- ,- ,,- ,- ,- ,- ,,,14.4 ,100 ,,,,,
Zoug,34.1 ,34.2 ,22.6 ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,7.8 ,,- ,- ,- ,- ,,,1.3 ,100 ,,,,,
Fribourg,16.7 ,37.7 ,22.2 ,8.9 ,- ,- ,- ,6.9 ,,,- ,- ,- ,4.2 ,1.7 ,,- ,- ,- ,- ,,,1.9 ,100 ,,,,,
Soleure,36.3 ,25.1 ,22.3 ,- ,- ,3.5 ,- ,- ,,,0.3 ,- ,- ,- ,- ,,- ,- ,- ,4.9 ,,,7.5 ,100 ,,,,,
