Elections au Conseil national de 1975: force des partis par canton,,,,,,,,,,,,,,,,,,,,,,,,T 17.2.3.3.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  ','  'PRD,'  'PDC,'  'PS,'  'UDC,'  'PLS,'  'AdI,'  'PEV,'  'PCS,'  'PVL,'  'PBD,'  'PST,'  'PSA,'  'POCH,'  'PES,'  'AVF,'  'Sol.,'  'DS,'  'Rép. 1),'  'UDF,'  'PSL,'  'Lega,'  ','  'Autres,'  'Total,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,22.2 ,21.1 ,24.9 ,9.9 ,2.4 ,6.1 ,2.0 ,0.1 ,- ,- ,2.4 ,0.3 ,1.0 ,0.1 ,- ,- ,2.5 ,3.0 ,0.3 ,- ,- ,,1.7 ,100 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zurich,18.5 ,9.4 ,23.9 ,11.3 ,- ,15.6 ,5.4 ,- ,,,1.1 ,- ,1.5 ,- ,,,4.4 ,6.2 ,0.5 ,,,,2.2 ,100 ,,,,,
Berne,17.6 ,5.3 ,31.0 ,27.1 ,- ,4.7 ,3.5 ,0.9 ,,,0.6 ,- ,0.5 ,- ,,,3.4 ,2.4 ,1.1 ,,,,2.0 ,100 ,,,,,
Lucerne,29.1 ,50.1 ,13.4 ,- ,- ,5.3 ,- ,- ,,,- ,- ,1.8 ,- ,,,- ,- ,- ,,,,0.4 ,100 ,,,,,
Uri,76.0 ,18.6 ,- ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,,,- ,- ,- ,,,,5.4 ,100 ,,,,,
Schwytz,21.3 ,46.4 ,29.3 ,3.0 ,- ,- ,- ,- ,,,- ,- ,- ,- ,,,- ,- ,- ,,,,- ,100 ,,,,,
Obwald,- ,97.1 ,- ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,,,- ,- ,- ,,,,2.9 ,100 ,,,,,
Nidwald,- ,97.6 ,- ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,,,- ,- ,- ,,,,2.4 ,100 ,,,,,
Glaris,- ,- ,64.7 ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,,,- ,- ,- ,,,,35.3 ,100 ,,,,,
Zoug,23.1 ,39.4 ,35.7 ,- ,- ,- ,- ,- ,,,- ,- ,- ,- ,,,- ,- ,- ,,,,1.8 ,100 ,,,,,
Fribourg,22.1 ,46.9 ,25.7 ,4.3 ,- ,- ,- ,- ,,,- ,- ,- ,- ,,,- ,- ,- ,,,,1.0 ,100 ,,,,,
Soleure,38.7 ,26.0 ,31.4 ,- ,- ,- ,- ,- ,,,- ,- ,3.4 ,- ,,,- ,- ,- ,,,,0.6 ,100 ,,,,,
Bâle-Ville,11.4 ,12.1 ,33.3 ,- ,11.6 ,9.9 ,4.0 ,- ,,,4.6 ,- ,4.2 ,- ,,,8.2 ,- ,- ,,,,0.8 ,100 ,,,,,
