Elections au Conseil national de 1979: force des partis par canton,,,,,,,,,,,,,,,,,,,,,,,,T 17.2.3.3.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  ','  'PRD,'  'PDC,'  'PS,'  'UDC,'  'PLS,'  'AdI,'  'PEV,'  'PCS,'  'PVL,'  'PBD,'  'PST,'  'PSA,'  'POCH,'  'PES,'  'AVF,'  'Sol.,'  'DS,'  'Rép. 2),'  'UDF,'  'PSL,'  'Lega,'  ','  'Autres,'  'Total,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,24.0 ,21.3 ,24.4 ,11.6 ,2.8 ,4.1 ,2.2 ,,- ,- ,2.1 ,0.4 ,1.7 ,0.6 ,0.2 ,- ,1.3 ,0.6 ,0.3 ,- ,- ,,2.3 ,100 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zurich,22.4 ,9.7 ,26.5 ,14.5 ,- ,11.2 ,5.7 ,,,,1.2 ,- ,2.3 ,1.3 ,- ,,2.5 ,0.9 ,0.4 ,,,,1.6 ,100 ,,,,,
Berne,18.0 ,2.5 ,30.5 ,31.5 ,- ,3.1 ,3.4 ,,,,0.3 ,- ,1.4 ,- ,1.1 ,,3.6 ,0.2 ,1.2 ,,,,3.4 ,100 ,,,,,
Lucerne,31.7 ,50.4 ,12.5 ,- ,- ,- ,- ,,,,- ,- ,5.1 ,- ,- ,,- ,- ,- ,,,,0.2 ,100 ,,,,,
Uri,39.0 ,- ,23.0 ,- ,- ,- ,- ,,,,- ,- ,- ,- ,- ,,- ,- ,- ,,,,38.0 ,100 ,,,,,
Schwytz,28.0 ,49.4 ,22.6 ,- ,- ,- ,- ,,,,- ,- ,- ,- ,- ,,- ,- ,- ,,,,- ,100 ,,,,,
Obwald,- ,95.7 ,- ,- ,- ,- ,- ,,,,- ,- ,- ,- ,- ,,- ,- ,- ,,,,4.3 ,100 ,,,,,
Nidwald,39.0 ,49.5 ,10.6 ,- ,- ,- ,- ,,,,- ,- ,- ,- ,- ,,- ,- ,- ,,,,0.9 ,100 ,,,,,
Glaris,- ,- ,- ,81.8 ,- ,- ,- ,,,,- ,- ,- ,- ,- ,,- ,- ,- ,,,,18.2 ,100 ,,,,,
Zoug,32.8 ,34.1 ,30.9 ,,- ,- ,- ,,,,- ,- ,- ,- ,- ,,- ,- ,- ,,,,2.2 ,100 ,,,,,
Fribourg,23.0 ,39.9 ,30.7 ,6.4 ,- ,- ,- ,,,,- ,- ,- ,- ,- ,,- ,- ,- ,,,,- ,100 ,,,,,
Soleure,39.0 ,27.6 ,28.4 ,- ,- ,- ,- ,,,,1.0 ,- ,4.1 ,- ,- ,,- ,- ,- ,,,,- ,100 ,,,,,
Bâle-Ville,14.1 ,13.9 ,33.3 ,- ,11.2 ,7.6 ,- ,,,,4.7 ,- ,10.3 ,- ,- ,,3.9 ,- ,- ,,,,0.9 ,100 ,,,,,
